occupation,age_group,n
aftægtskone,15-25,2
aftægtskone,26-40,6
aftægtskone,41-60,70
aftægtskone,60+,277
enke,26-40,10
enke,41-60,53
enke,60+,50
familiemedlem,15-25,1495
familiemedlem,26-40,400
familiemedlem,41-60,66
familiemedlem,60+,88
familiemedlem,Age unknown,266
fattiglem,15-25,7
fattiglem,26-40,41
fattiglem,41-60,84
fattiglem,60+,154
fattiglem,Age unknown,2
forsørges af familie,15-25,6
forsørges af familie,26-40,8
forsørges af familie,41-60,23
forsørges af familie,60+,142
forsørges af familie,Age unknown,1
husholderske,15-25,58
husholderske,26-40,85
husholderske,41-60,24
husholderske,60+,6
huskone,15-25,313
huskone,26-40,2830
huskone,41-60,2875
huskone,60+,623
håndarbejder,15-25,172
håndarbejder,26-40,162
håndarbejder,41-60,200
håndarbejder,60+,76
håndarbejder,Age unknown,1
indsidderske,15-25,6
indsidderske,26-40,29
indsidderske,41-60,41
indsidderske,60+,37
tjenestepige,15-25,2125
tjenestepige,26-40,764
tjenestepige,41-60,70
tjenestepige,60+,5
tjenestepige,Age unknown,47
