Name,Occupation,English_translation,Coordinates,Latitude,Longitude,Popularity,Year,Description,Source,notes
Johanne Luise Heiberg,Skuespillerinde,Actress,"55.67951262435011, 12.586126709798426",55.67951262435011,12.586126709798426,Uncommon occupation,1826-1864,A great Danish stage artist and later on first female stage director at the Royal Danish Theatre. She started her career at the Royal Theatre's ballet school before becoming an actress,"Janne Risum et al in Lex on lex.dk. accessed May 14, 2026, fra https://lex.dk/Johanne_Luise_Heiberg",year er hendes aktive år som skuespiller
Mathilde Fibiger,Forfatter,Author,"54.81260803449542, 11.621980159804156",54.81260803449542,11.621980159804156,Uncommon occupation,1850,"During her time working as a governess and teacher on Lolland, Fibiger wrote the novel Clara Raphael, twelve letters. The book was published anonymously and received by the public with both outrage and admiration due to its emanicpartory agenda. She later published more novels before shifting career.","Freja Cæcilie Petri Bondgaard, ""Mathilde Fibiger, 1830-1872"" in Danmarkshistorien på lex.dk. accessed May 14 2026, https://danmarkshistorien.lex.dk/Mathilde_Fibiger,_1830-1872",årstallet er hvornår bogen udkom
Pauline Worm,Skolebestyrerinde,School Principal,"56.46066440668122, 10.036389268836514",56.46066440668122,10.036389268836514,Uncommon occupation,1825-1883,"Pauline was a teacher, and later founded girls schools both in Randers and Aarhus. She is also the first female public speaker in Denmark.  ","“Pauline Worm.” Dansk Kvindebiografisk Leksikon. Accessed May 15, 2026. https://kvindebiografiskleksikon.lex.dk/Pauline_Worm.",
Ane Jensen,Lærerinde,School Teacher,"55.19137715668163, 10.543091060478389",55.19137715668163,10.543091060478389,Common occupation,1818-1897,"Married to a member of the Danish parliament, she is most notably known for creating the ""free schools"" (d. friskoler). She was a close confidant to the thinker N.F.S. Grundtvig and together with him she was very active in the højskolemovement. Ane was crucial in acquiring the right for women to attend these educational institutions (d. Højskoler). ","“Ane Jensen (1818–1897).” Højskolehistorie.dk. Accessed May 15, 2026. https://hojskolehistorie.dk/hoejskolepersonligheder/de-navnkundige/ane-jensen-1818-1897-/.","lidt svært at definere om hendes ""occupation"" er common eller uncommon, for hun er jo en hustru=common men politisk aktiv i højskolebevægelsen=uncommon"
Laura Jacobsen,Hustru,Wife,"55.67858182519027, 12.537735624610466",55.67858182519027,12.537735624610466,Very common occupation,1819-1911,Married to the founder of the beer brewing company Carlsberg. Used money from the enormous succes of the family business to create scholarships for underpriviledged women.,"Holmen, Grethe. “Laura Jacobsen og Ottilia Jacobsen : to personligheder i Carlsberg Bryggeriernes historie”. Frederiksberg gennem tiderne Bd. 16 (1985) (1985).",lidt det samme som noten ovenfor + year er født og død
Frederikke Bøisen,Tjenestepige,Servant,"55.45992431122174, 8.634148535777705",55.45992431122174,8.634148535777705,Very common occupation,1860,Frederikke worked as a servant at Sneumgaard in sourhern Jylland. She was an 18 year old unmarried young girl born near Haderslev,"“Sneumgaard,” Danske Herregårde – Sneumgaard, accessed May 14 2026, https://www.danskeherregaarde.dk/nutid/sneumgaard ",
Petrine Larsen,Sypige,Sewing girl,"55.28076805563641, 9.951512024588476",55.28076805563641,9.951512024588476,Very common occupation,1850,Petrine worked as a sewing girl at Brahesborg estate on Fyn. She was born in Odense and in 1850 she was 21 years old in 1850 and unmarried.,"“Brahesborg,” Danske Herregårde – Brahesborg, accessed May 14 2026,https://www.danskeherregaarde.dk/nutid/brahesborg ",
Mette Cathrine Pedersen,Kokkepige,Cook girl,"54.999079466351105, 12.525058504014261",54.999079466351105,12.525058504014261,Common occupation,1860,Mette Cathrine worked in the kitchen at Liselund castle. She was a 25 year old unmarried woman originally from Møn.,"“Liselund,” Danske Herregårde – Liselund, accessed May 14 2026, https://www.danskeherregaarde.dk/nutid/liselund ",
Birthe Christiane Beveri,Guvernante,Governess,"56.14700185363578, 8.997863358470086",56.14700185363578,8.997863358470086,Common occupation,1860,Birthe was born in Hamborg in Germany but in 1860 she worked as a governess at Herningsholm manor. She was 20 years old an unmarried.,"“Herningsholm,” Danske Herregårde – Herningsholm, accessed May 14 2026, https://www.danskeherregaarde.dk/1850/herningsholm ",
Karen Sophie Nielsen,Amme,Wet nurse,"55.42005115007998, 11.93690044073592",55.42005115007998,11.93690044073592,Less common occupation,1860,29 year old Karen Sophie worked as a wet nurse at Giesegård in 1860. A wet nurse is a woman who breastfeeds another womans child.,"“Giesegård,” Danske Herregårde – Giesegård, accessed May 14 2026, https://www.danskeherregaarde.dk/1850/giesegaard",
Marie Christensen,Tjenestepige,Servant,"55.9723610999957, 12.017544938533522",55.9723610999957,12.017544938533522,Very common occupation,1886,"15 year old girl is sendt to Frederiksværk so serve as a servant where she sleeps in a boks and works from 6am to 10 pm. She later makes the ""Tjenstepigeforening"" in 1899","""Marie Christnesen, 1871-1945"" accessed May 15 2026, https://danmarkshistorien.lex.dk/Marie_Christensen,_1871-1945",year er det år hvor hun sendes ud som tjenestepige for første gang
Betty Bruun,Skolebestyrerinde,School Principal,"55.642292210355684, 12.081451597493807",55.642292210355684,12.081451597493807,Uncommon occupation,1855,Bruun was a pioneer in schooling for girls in the danish city of Roskilde,"""Stærke kvinder i Roskilde"" by Eva Tønnesen page: 73-77",
Marie Thorning,Forpagtsfrue,Hotel landlady ,"55.64124602469201, 12.083287996196834",55.64124602469201,12.083287996196834,Uncommon occupation,1898,Thorning was a landlady at the hotel Prindsen in Roskilde frem 1898-1906,"""Stærke kvinder i Roskilde"" by Eva Tønnesen page: 91-100",
Marie Karen Hansen,Daglejer,Day laborer,"55.647857537878586, 12.085042617190961",55.647857537878586,12.085042617190961,Very common occupation,1851,"Hansen lived at the Sct. Agnes-Husene, where she and her husband (as well as her daughters family) where day laborers","""Stærke kvinder i Roskilde"" by Eva Tønnesen page: 101-114",
Anna Hude,Arkivar,Archivist,"55.642206152715396, 12.08796050305702",55.642206152715396,12.08796050305702,Less common occupation,1889,After a run-in with the law Hude went to University in Copenhagen and where shortly thereafter hired at the Stadsarkiv in Roskilde,"""Stærke kvinder i Roskilde"" by Eva Tønnesen page: 115- 125",
Ellen Hansdatter,Fattiglem,Pauper,"55.78573985667539, 12.492162306282477",55.78573985667539,12.492162306282477,Very common occupation,1834,"Of her not much is known; she was registered in the papers as umarried, 53 and insane, when she died in 1846 the hospital she lived in auctioned off her belongings","""På fattighuset - Greve Hospital og andre fattighuse på landet"" by Ingeborg Christmas-Møller, page 39-40
i 1700- og 1800-tallet
",
Maren Pedersdatter ,Fattiglem,Pauper,"56.19728258705366, 8.765479528835533",56.19728258705366,8.765479528835533,Very common occupation,1895,The source only tells that she was given some clothes by the poor farm,"""På fattighuset - Greve Hospital og andre fattighuse på landet"" by Ingeborg Christmas-Møller, page 74
i 1700- og 1800-tallet
",
Nicoline Westerberg,Sælgerinde ,Saleswoman,"56.46011224426531, 10.035029713493694",56.46011224426531,10.035029713493694,Less common occupation,1886,When her husband died in 1886 she had to take over the sales of the family and ever week she diplayed that in the local papers in Randers,"""Forskning knuser myten om borgerfruen: Kvinder har næsten altid været på arbejdsmarkedet"" by Maja Funch, accessed May 15 2026 https://www.kristeligt-dagblad.dk/kultur/ny-phd-afhandling-knuser-myten-om-borgerfruen-kvinder-har-naesten-altid-vaeret-paa",
Anna Ancher,Maler,Painter,"57.729245, 10.583381",57.729245,10.583381,Uncommon occupation,1859-1935,She was a part of the famous Skagen-painters group. She is considered as one of the most influential impressionistic painters in Danish art history. ,"Pedersen, Karen Lerbech. “5 kvinder der sparkede røv i 1800-tallet.” DR Historie. Published October 8, 2017.",
Mette Kr. Hageman ,Husholderske,Housekeeper,"55.27058, 9.02136",55.27058,9.02136,Common occupation,1834,"In the 1834 census she was registered as the housekeeper of the Herregård (e.estate) Sønderskov in Southern Jutland, she was unmarried and 47 years old at the time.","“Sønderskov.” Danske Herregaarde. Accessed May 17, 2026.",
Karen Andersdatter,Mejerske,Female reaper,"55.654581, 11.075890",55.654581,11.075890,Less common occupation,1834,"In the 1834 census she was registered as a female reaper harvesting crops at the estate Lerchenborg, she was 33 years old at the time and unmarried.","“Lerchenborg.” Danske Herregaarde. Accessed May 17, 2026.",
Margrethe Gjedde,"Enke, forsørges af søn","Widow, supported by son","56.56932915865267, 9.019064885501276",56.56932915865267,9.019064885501276,Very common occupation,1960,Margrethe was a 70 year old widow who lived at her sons estate. She had no occupation.,"“Ny Skivehus,” Danske Herregårde – Ny Skivehus, accessed May 18 2026, https://www.danskeherregaarde.dk/nutid/ny-skivehus",
