stilling,age_group,n
Aftægtskone,41-60,74
Aftægtskone,60+,434
Enke,26-40,24
Enke,41-60,90
Enke,60+,41
Familiemedlem,15-25,2251
Familiemedlem,26-40,497
Familiemedlem,41-60,110
Familiemedlem,60+,178
Familiemedlem,Age unknown,407
Fattiglem,15-25,9
Fattiglem,26-40,42
Fattiglem,41-60,141
Fattiglem,60+,276
Fattiglem,Age unknown,1
Forsørges af familiemedlem,15-25,11
Forsørges af familiemedlem,26-40,23
Forsørges af familiemedlem,41-60,108
Forsørges af familiemedlem,60+,426
Forsørges af familiemedlem,Age unknown,1
Husholderske,15-25,121
Husholderske,26-40,156
Husholderske,41-60,79
Husholderske,60+,20
Huskone,15-25,909
Huskone,26-40,6692
Huskone,41-60,5839
Huskone,60+,1326
Håndarbejder,15-25,360
Håndarbejder,26-40,284
Håndarbejder,41-60,213
Håndarbejder,60+,106
Håndarbejder,Age unknown,8
Mejerske,15-25,66
Mejerske,26-40,30
Mejerske,41-60,3
Mejerske,Age unknown,2
Tjenestepige,15-25,3495
Tjenestepige,26-40,1014
Tjenestepige,41-60,138
Tjenestepige,60+,14
Tjenestepige,Age unknown,287
