name ;epithet;birth;death ;beg_reg_y;end_reg_y
Gorm;Den Gamle;na;958;na ;na
Harald I;Blåtand;na;978;na ;978
Svend I;Tveskæg;na;1041;978;1014
Harald II;na;na;1018;1014;1018
Knud I;den store ;995;1035;1018;1035
Hardeknud;na;1020;1042;1035;1042
Magnus;den Gode;1024;1047;1042;1047
Svend II;Estridsen;na;1074;1047;1074
Harald III;Hen;na;1080;1074;1080
Knud II;den Hellige;na;1086;1080;1086
Oluf I;Hunger;na;1095;1086;1095
Erik I;Ejegod;na;1103;1095;1103
Niels;na;na;1134;1104;1134
Erik II ;Emune;na;1137;1134;1137
Erik III;Lam ;na;1146;1137;1146
"Svend; Knud; Valemar";;na;na ;1146;1157
Valdemar I;den store ;1131;1182;1157;1182
Knud IV;na;1163;1202;1182;1202
Valdemar II;Sejr;1170;1241;1202;1241
Erik IV;Plovplenning;1216;1250;1241;1250
Abel;na;1218;1252;1250;1252
Christoffer I ;na ;1219;1259;1252;1259
Erik V;Klipping ;1249;1286;1259;1286
Erik VI;Menved ;1274;1319;1286;1319
Christoffer II;na ;1276;1332;1319;1326
Valdemar III;na;1315;1364;1326;1329
Christoffer II;na;1276;1332;1329;1332
na;na;na;na ;1332;1340
Valdemar IV;Atterdag ;1320;1375;1340;1375
Oluf II;na;1370;1387;1375;1387
Margrete I;na;1353;1412;1387;1396
Erik VII;af Pommern;1382;1459;1396;1439
Christoffer III;af Bayern;1416;1448;1440;1448
Christian I;na;1426;1481;1448;1481
Hans;na;1455;1513;1481;1513
Christian II;na;1481;1559;1513;1523
Frederik I;na ;1471;1533;1523;1533
na;na;na;na ;1533;1536
Christian III;na;1503;1559;1536;1559
Frederik II;na;1534;1588;1559;1588
Christian IV;na ;1577;1648;1588;1648
Frederik III;na;1609;1670;1648;1670
Christian V;na;1646;1699;1670;1699
Frederik IV;na;1671;1730;1699;1730
Christian VI;na;1699;1746;1730;1746
Frederik V;na;1723;1766;1746;1766
Christian VII;na;1749;1808;1766;1808
Frederik VI;na;1768;1839;1808;1839
Christian VIII;na;1786;1848;1839;1848
Frederik VII;na;1808;1863;1848;1863
Christian IX;na;1818;1906;1863;1906
Frederik VIII;na;1843;1912;1906;1912
Christian X;na;1870;1947;1912;1947
Frederik IX;na;1899;1972;1947;1972
Margrete II;na;1940;na ;1972;2024
Frederik X;na;1968;na ;2024;na
